2113;Lysá nad Labem;10;6;44;26;124;8%;-62;157;0;17;40;45;17;46;61;68;54;65;0;15;108;429;-8;9;13;-8;13;25;30;20;28;137;-17;18;103;120;37%;120;0;;Lysá nad Labem;2113;;5103;310;;5103;106
2114;Mělník;14;6;43;29;92;15%;-24;106;130;44;61;53;31;24;67;33;22;58;0;0;156;264;48;61;55;38;33;46;20;12;39;351;0;234;117;351;40%;351;0;;Mělník;2114;;5105;1098;;5105;286
2115;Mladá Boleslav;20;7;72;146;274;7%;-91;97;48;157;174;170;113;132;138;119;123;74;16;22;398;1053;52;65;62;19;33;31;17;20;-17;299;-17;232;50;282;9%;282;0;;Mladá Boleslav;2115;;5108;210;;5108;47
2116;Mnichovo Hradiště;0;0;34;30;50;0%;-2;0;8;13;12;8;18;15;12;7;7;8;8;19;24;136;-2;-3;-6;2;-1;-4;-7;-7;-7;2;-36;-9;-25;-34;0%;-34;0;;Mnichovo Hradiště;2116;;5109;202;;5109;55
2117;Neratovice;16;8;18;38;55;29%;3;78;7;16;16;24;13;17;19;14;16;26;0;4;40;126;11;11;17;9;12;12;9;10;18;108;0;60;49;108;62%;108;0;;Neratovice;2117;;5208;122;;5208;29
2118;Nymburk;7;6;27;32;62;11%;-11;61;57;28;19;23;15;17;24;18;26;22;8;17;82;222;19;12;15;9;10;7;3;9;6;90;0;65;25;90;27%;90;0;;Nymburk;2118;;5301;50;;5301;13
2119;Poděbrady;6;2;18;64;54;11%;14;109;80;45;55;30;45;34;43;24;32;42;0;20;37;173;42;49;30;42;33;29;14;20;28;288;0;197;92;288;63%;288;0;;Poděbrady;2119;;6101;67;;6101;16
2120;Příbram;27;11;144;72;116;23%;73;204;112;112;88;127;85;65;54;91;69;124;34;33;127;434;87;69;98;66;51;26;54;38;79;567;0;370;197;567;47%;567;0;;Praha 3;1103;;6204;268;;6204;74
2121;Rakovník;4;3;81;54;63;6%;42;114;87;73;74;59;65;53;45;30;45;51;1;1;101;226;64;65;53;58;49;30;18;30;34;400;0;288;112;400;50%;400;0;;Praha 4;1104;;6205;46;;6205;10
2122;Říčany;22;7;47;55;158;14%;-60;126;20;55;57;37;32;40;10;34;37;34;5;13;102;548;6;7;-8;-11;-5;-31;-13;-10;-13;13;-90;-11;-66;-77;23%;-77;0;;Přelouč;5311;;6213;87;;6213;20
2123;Sedlčany;13;6;43;25;47;28%;17;103;59;50;67;73;68;59;36;56;52;31;6;14;81;192;43;56;61;57;50;24;39;36;20;387;0;267;120;387;54%;387;0;;Přerov;7109;;6214;139;;6214;27
2124;Slaný;6;2;40;56;80;8%;-2;54;16;37;32;36;23;13;40;26;23;50;3;4;172;303;17;13;16;6;-1;17;6;4;24;104;-1;51;51;103;18%;103;0;;Příbram;2120;;6216;281;;6216;87
2125;Vlašim;8;3;26;27;31;26%;17;67;0;67;56;83;38;76;51;43;55;49;1;0;44;127;47;39;59;26;54;35;29;38;34;362;0;225;137;362;53%;362;0;;Uherský Brod;7208;;8108;246;;8108;78
2126;Votice;3;1;15;8;9;33%;11;9;5;20;20;10;12;15;25;22;19;21;0;0;26;46;14;14;6;8;10;17;15;12;14;109;0;52;57;109;20%;109;0;;Ústí nad Labem;4214;;8110;38;;8110;13
3101;Blatná;4;2;23;27;19;21%;23;39;24;44;28;42;22;28;39;32;38;37;9;9;147;76;45;33;43;28;33;38;32;37;36;326;0;183;143;326;51%;326;0;;Blatná;3101;;1106;1288;;1106;349
3102;České Budějovice;77;27;199;83;235;33%;54;215;57;158;173;170;114;164;74;104;116;133;13;22;181;818;75;87;84;42;80;4;27;36;48;484;0;369;115;484;26%;484;0;;České Budějovice;3102;;2112;375;;2112;127
3103;Český Krumlov;27;12;87;47;68;40%;60;83;85;75;84;66;49;57;47;78;45;65;14;14;152;256;63;69;56;43;49;29;52;28;43;432;0;281;151;432;32%;432;0;;Český Krumlov;3103;;2114;264;;2114;92
3104;Dačice;6;1;57;48;8;75%;77;19;41;33;31;27;38;18;41;56;28;48;0;40;125;35;40;38;35;43;28;40;52;31;46;353;0;184;168;353;54%;353;0;;Dačice;3104;;2116;136;;2116;50
3105;Jindřichův Hradec;8;4;153;19;39;21%;98;82;42;39;44;35;37;46;35;27;45;37;2;2;72;172;32;35;29;30;37;22;16;30;24;255;0;162;92;255;48%;255;0;;Jindřichův Hradec;3105;;3210;88;;3210;24
3106;Kaplice;5;2;58;36;24;21%;52;64;36;53;69;54;64;56;18;10;33;32;0;0;38;134;41;53;41;49;43;9;3;20;19;277;0;226;51;277;48%;277;0;;Kaplice;3106;;3212;174;;3212;49
3107;Milevsko;1;1;51;67;15;7%;75;49;0;64;83;71;73;80;70;88;74;85;0;0;10;53;48;63;54;55;60;53;66;56;64;520;0;280;239;520;92%;520;0;;Milevsko;3107;;5107;71;;5107;19
3108;Písek;10;3;64;39;88;11%;-1;127;47;21;24;33;26;23;27;34;29;30;0;0;142;295;16;18;25;20;17;13;19;15;16;159;0;96;63;159;43%;159;0;;Písek;3108;;5313;111;;5313;14
