KODJAZ,AKRCIS,KODCIS,CHODNOTA,ZKRTEXT,TEXT,ADMPLOD,ADMNEPO,KOD_RUIAN
"CS","CISSOP",72,"1101","Praha 1","Praha 1","01.07.2001","09.09.9999","19"
"CS","CISSOP",72,"1102","Praha 2","Praha 2","01.07.2001","09.09.9999","27"
"CS","CISSOP",72,"1103","Praha 3","Praha 3","01.07.2001","09.09.9999","35"
"CS","CISSOP",72,"1104","Praha 4","Praha 4","01.07.2001","09.09.9999","43"
"CS","CISSOP",72,"1105","Praha 5","Praha 5","01.07.2001","09.09.9999","51"
"CS","CISSOP",72,"1106","Praha 6","Praha 6","01.07.2001","09.09.9999","60"
"CS","CISSOP",72,"1107","Praha 7","Praha 7","01.07.2001","09.09.9999","78"
"CS","CISSOP",72,"1108","Praha 8","Praha 8","01.07.2001","09.09.9999","86"
"CS","CISSOP",72,"1109","Praha 9","Praha 9","01.07.2001","09.09.9999","94"
"CS","CISSOP",72,"1110","Praha 10","Praha 10","01.07.2001","09.09.9999","108"
"CS","CISSOP",72,"1111","Praha 11","Praha 11","01.07.2001","09.09.9999","116"
"CS","CISSOP",72,"1112","Praha 12","Praha 12","01.07.2001","09.09.9999","124"
"CS","CISSOP",72,"1113","Praha 13","Praha 13","01.07.2001","09.09.9999","132"
"CS","CISSOP",72,"1114","Praha 14","Praha 14","01.07.2001","09.09.9999","141"
"CS","CISSOP",72,"1115","Praha 15","Praha 15","01.07.2001","09.09.9999","159"
"CS","CISSOP",72,"1116","Praha 16","Praha 16","01.07.2001","09.09.9999","205"
"CS","CISSOP",72,"1117","Praha 17","Praha 17","01.07.2001","09.09.9999","213"
"CS","CISSOP",72,"1118","Praha 18","Praha 18","01.07.2001","09.09.9999","221"
"CS","CISSOP",72,"1119","Praha 19","Praha 19","01.07.2001","09.09.9999","167"
"CS","CISSOP",72,"1120","Praha 20","Praha 20","01.07.2001","09.09.9999","175"
"CS","CISSOP",72,"1121","Praha 21","Praha 21","01.07.2001","09.09.9999","183"
"CS","CISSOP",72,"1122","Praha 22","Praha 22","01.07.2001","09.09.9999","191"

